orderid,orderdate,ordertime,customerid,customername,customercity,customerphone,customeremail,tablenumber,partysize,itemordered,category,itemprice_egp,quantity,discount_egp,paymentmethod,subtotal_egp,vat_egp,servicecharge_egp,deliveryfee_egp,totalbeforetip_egp,tip_egp,total_egp,ordertype,servername,loyaltypointsearned,feedbackrating,branchid,branchcity,branchmanager
ORD000328,2025-03-20,21:10:08,CUST3050,Omar Fathy,Zagazig,1273403987,omar.fathy@example.com,39.0,2,Molokhia with Rice,Food,60,1,0.0,Cash,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Laila,1,3,B003,Alexandria,Mr. Karim
ORD000329,2025-05-15,23:24:23,CUST9605,Ibrahim Hassan,Fayoum,1043142680,ibrahim.hassan@example.com,39.0,1,Grilled Chicken Half,Food,75,3,0.0,Mobile Wallet,225,31.5,27.0,0,283.5,33.55,317.05,Dine-in,Amr,6,3,B001,Cairo,Mr. Hassan
ORD000330,2024-09-19,13:09:54,CUST7312,Ahmed Sayed,Alexandria,1170521495,ahmed.sayed@example.com,23.0,2,Grilled Kofta,Food,85,1,0.0,Card,85,11.9,10.2,0,107.1,0.0,107.1,Dine-in,Amr,2,2,B001,Cairo,Mr. Hassan
ORD000331,2025-06-11,01:49:56,CUST1593,Sara Hassan,Suez,1264498623,sara.hassan@example.com,42.0,2,Basbousa (Dessert),Dessert,30,2,0.0,Cash,60,8.4,7.2,0,75.6,37.59,113.19,Dine-in,Hassan,2,1,B003,Alexandria,Mr. Karim
ORD000332,2025-03-08,01:41:23,CUST5761,Walid Mostafa,Ismailia,1250307411,walid.mostafa@example.com,0.0,3,Turkish Coffee,Drink,20,2,0.0,Card,40,5.6,4.8,0,50.4,0.0,50.4,Takeaway,Mona,1,4,B001,Cairo,Mr. Hassan
ORD000333,2025-09-01,16:41:39,CUST5037,Amr Yassin,Giza,1017188330,amr.yassin@example.com,0.0,5,Baklava (Dessert),Dessert,40,2,8.0,Card,80,11.2,9.6,0,92.8,0.0,92.8,Takeaway,Laila,1,3,B005,Tanta,Mr. Omar
ORD000334,2025-09-05,07:05:50,CUST6078,Rania Sayed,Mansoura,1069612966,rania.sayed@example.com,34.0,1,Grilled Kofta,Food,85,2,0.0,Card,170,23.8,20.4,0,214.2,0.0,214.2,Dine-in,Hassan,4,3,B005,Tanta,Mr. Omar
ORD000335,2024-09-27,01:13:54,CUST3788,Sara Mahmoud,Tanta,1121560307,sara.mahmoud@example.com,0.0,2,Bottled Water,Drink,8,1,0.0,Cash,8,1.12,0.96,0,10.08,0.0,10.08,Takeaway,Omar,0,5,B004,Mansoura,Mrs. Laila
ORD000336,2025-06-17,05:53:15,CUST6610,Aya Ibrahim,Mansoura,1224616039,aya.ibrahim@example.com,31.0,4,Koshari,Food,45,3,0.0,Card,135,18.9,16.2,0,170.1,0.0,170.1,Dine-in,Hassan,3,3,B005,Tanta,Mr. Omar
ORD000337,2025-06-14,16:23:26,CUST3950,Amr Hafez,Minya,1138781963,amr.hafez@example.com,47.0,2,Fattah,Food,90,4,0.0,Card,360,50.4,43.2,0,453.6,0.0,453.6,Dine-in,Mona,9,4,B002,Giza,Mrs. Salma
ORD000338,2025-04-26,10:27:57,CUST5971,Nadia Naguib,Alexandria,1177990241,nadia.naguib@example.com,32.0,4,Shawarma Sandwich,Food,50,2,0.0,Cash,100,14.0,12.0,0,126.0,0.0,126.0,Dine-in,Dina,2,5,B004,Mansoura,Mrs. Laila
ORD000339,2025-08-17,00:30:26,CUST6399,Laila Zaki,Fayoum,1074312089,laila.zaki@example.com,43.0,4,Karkade (Hibiscus Tea),Drink,25,1,0.0,Cash,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Salma,0,3,B005,Tanta,Mr. Omar
ORD000340,2024-12-04,20:13:23,CUST3037,Dina Fouad,Fayoum,1169098537,dina.fouad@example.com,0.0,1,Koshari,Food,45,1,0.0,Card,45,6.3,5.4,15,71.7,0.0,71.7,Delivery,Laila,1,5,B002,Giza,Mrs. Salma
ORD000341,2024-11-02,20:59:01,CUST2989,Amr Ibrahim,Zagazig,1062774608,amr.ibrahim@example.com,45.0,4,Karkade (Hibiscus Tea),Drink,25,2,0.0,Mobile Wallet,50,7.0,6.0,0,63.0,15.58,78.58,Dine-in,Salma,1,5,B005,Tanta,Mr. Omar
ORD000342,2025-06-14,09:12:45,CUST8337,Ahmed Karim,Tanta,1294341360,ahmed.karim@example.com,42.0,2,Fresh Juice (Mango),Drink,40,1,6.0,Card,40,5.6,4.8,0,44.4,29.35,73.75,Dine-in,Mona,1,5,B004,Mansoura,Mrs. Laila
ORD000343,2025-02-19,06:17:41,CUST3472,Aya Ali,Alexandria,1297033089,aya.ali@example.com,4.0,2,Sahlab,Drink,35,1,0.0,Cash,35,4.9,4.2,0,44.1,0.0,44.1,Dine-in,Mona,0,1,B001,Cairo,Mr. Hassan
ORD000344,2025-08-01,13:06:44,CUST6352,Nadia Karim,Minya,1088573718,nadia.karim@example.com,30.0,1,Lentil Soup,Food,30,3,0.0,Mobile Wallet,90,12.6,10.8,0,113.4,0.0,113.4,Dine-in,Mona,2,2,B001,Cairo,Mr. Hassan
ORD000345,2025-08-16,02:04:24,CUST4784,Ahmed Hassan,Suez,1228781308,ahmed.hassan@example.com,42.0,4,Fresh Juice (Orange),Drink,30,4,0.0,Card,120,16.8,14.4,0,151.2,0.0,151.2,Dine-in,Hassan,3,5,B004,Mansoura,Mrs. Laila
ORD000346,2025-03-22,12:58:07,CUST3094,Youssef Hafez,Mansoura,1018235776,youssef.hafez@example.com,17.0,3,Fresh Juice (Orange),Drink,30,4,12.0,Mobile Wallet,120,16.8,14.4,0,139.2,0.0,139.2,Dine-in,Dina,2,3,B004,Mansoura,Mrs. Laila
ORD000347,2024-10-15,03:24:01,CUST3269,Omar Karim,Suez,1228282158,omar.karim@example.com,0.0,1,Basbousa (Dessert),Dessert,30,2,0.0,Cash,60,8.4,7.2,0,75.6,0.0,75.6,Takeaway,Omar,1,1,B004,Mansoura,Mrs. Laila
ORD000348,2025-02-14,03:56:57,CUST2034,Laila Zaki,Cairo,1035445439,laila.zaki@example.com,27.0,2,Fattah,Food,90,2,0.0,Card,180,25.2,21.6,0,226.8,0.0,226.8,Dine-in,Dina,4,5,B005,Tanta,Mr. Omar
ORD000349,2024-10-13,13:16:54,CUST7780,Ibrahim Mostafa,Tanta,1042724726,ibrahim.mostafa@example.com,10.0,2,Bottled Water,Drink,8,1,0.0,Card,8,1.12,0.96,0,10.08,0.0,10.08,Dine-in,Dina,0,2,B005,Tanta,Mr. Omar
ORD000350,2024-11-14,19:31:33,CUST7591,Ibrahim Fouad,Giza,1061074449,ibrahim.fouad@example.com,0.0,3,Baklava (Dessert),Dessert,40,3,0.0,Card,120,16.8,14.4,0,151.2,0.0,151.2,Takeaway,Karim,3,2,B003,Alexandria,Mr. Karim
ORD000351,2024-11-28,17:25:50,CUST7790,Khaled Mahmoud,Tanta,1279824914,khaled.mahmoud@example.com,18.0,4,Grilled Chicken Half,Food,75,2,0.0,Card,150,21.0,18.0,0,189.0,0.0,189.0,Dine-in,Amr,3,5,B001,Cairo,Mr. Hassan
ORD000352,2025-08-22,13:39:30,CUST2902,Sara Mahmoud,Mansoura,1016218599,sara.mahmoud@example.com,28.0,2,Sahlab,Drink,35,5,0.0,Cash,175,24.5,21.0,0,220.5,0.0,220.5,Dine-in,Dina,4,3,B003,Alexandria,Mr. Karim
ORD000353,2025-05-06,11:56:17,CUST1914,Amr Naguib,Alexandria,1181222187,amr.naguib@example.com,0.0,6,Molokhia with Rice,Food,60,2,0.0,Cash,120,16.8,14.4,15,166.2,30.54,196.74,Delivery,Amr,3,2,B004,Mansoura,Mrs. Laila
ORD000354,2024-11-22,05:40:48,CUST2904,Nadia Ibrahim,Minya,1113018198,nadia.ibrahim@example.com,14.0,1,Rice with Vermicelli,Food,28,3,0.0,Cash,84,11.76,10.08,0,105.84,16.18,122.02,Dine-in,Laila,2,4,B002,Giza,Mrs. Salma
ORD000355,2025-06-25,01:44:19,CUST8460,Tamer Sayed,Fayoum,1175614320,tamer.sayed@example.com,0.0,3,Mixed Grill Plate,Food,140,1,7.0,Cash,140,19.6,16.8,0,169.4,0.0,169.4,Takeaway,Mona,3,1,B004,Mansoura,Mrs. Laila
ORD000356,2025-06-07,04:19:18,CUST4548,Amr Fouad,Ismailia,1039315566,amr.fouad@example.com,46.0,3,Shawarma Sandwich,Food,50,2,0.0,Cash,100,14.0,12.0,0,126.0,0.0,126.0,Dine-in,Mona,2,1,B002,Giza,Mrs. Salma
ORD000357,2025-02-06,12:54:14,CUST5778,Fatma Sayed,Mansoura,1011934573,fatma.sayed@example.com,35.0,1,Umm Ali (Dessert),Dessert,35,1,0.0,Cash,35,4.9,4.2,0,44.1,0.0,44.1,Dine-in,Karim,0,3,B005,Tanta,Mr. Omar
ORD000358,2024-11-10,23:32:04,CUST9376,Ibrahim Sayed,Alexandria,1015276822,ibrahim.sayed@example.com,0.0,2,Soft Drink (Can),Drink,18,2,0.0,Cash,36,5.04,4.32,25,70.36,19.94,90.3,Delivery,Dina,1,3,B005,Tanta,Mr. Omar
ORD000359,2025-01-31,09:20:15,CUST3446,Fatma Hassan,Ismailia,1010883622,fatma.hassan@example.com,5.0,3,Koshari,Food,45,2,0.0,Cash,90,12.6,10.8,0,113.4,0.0,113.4,Dine-in,Mona,2,4,B002,Giza,Mrs. Salma
ORD000360,2025-03-27,04:40:51,CUST8043,Youssef Hafez,Minya,1118888220,youssef.hafez@example.com,11.0,3,Iced Tea,Drink,22,1,0.0,Cash,22,3.08,2.64,0,27.72,38.49,66.21,Dine-in,Mona,1,1,B005,Tanta,Mr. Omar
ORD000361,2024-11-01,11:15:11,CUST5973,Salma Yassin,Tanta,1227300390,salma.yassin@example.com,9.0,2,Falafel Sandwich,Food,25,3,0.0,Cash,75,10.5,9.0,0,94.5,20.81,115.31,Dine-in,Karim,2,2,B003,Alexandria,Mr. Karim
ORD000362,2024-10-02,17:52:32,CUST3515,Walid Sayed,Cairo,1235555144,walid.sayed@example.com,0.0,2,Shawarma Sandwich,Food,50,3,0.0,Card,150,21.0,18.0,25,214.0,0.0,214.0,Delivery,Salma,4,5,B001,Cairo,Mr. Hassan
ORD000363,2025-03-05,17:04:56,CUST3319,Salma Hassan,Fayoum,1065773216,salma.hassan@example.com,46.0,2,Fattah,Food,90,3,0.0,Mobile Wallet,270,37.8,32.4,0,340.2,0.0,340.2,Dine-in,Laila,6,3,B001,Cairo,Mr. Hassan
ORD000364,2024-12-23,11:20:44,CUST4380,Ahmed Mahmoud,Zagazig,1143919633,ahmed.mahmoud@example.com,0.0,6,Umm Ali (Dessert),Dessert,35,2,7.0,Card,70,9.8,8.4,30,111.2,32.61,143.81,Delivery,Dina,2,5,B001,Cairo,Mr. Hassan
ORD000365,2024-10-26,15:42:45,CUST6393,Mona Fathy,Minya,1129153041,mona.fathy@example.com,38.0,6,Soft Drink (Can),Drink,18,4,0.0,Cash,72,10.08,8.64,0,90.72,5.21,95.93,Dine-in,Hassan,1,5,B004,Mansoura,Mrs. Laila
ORD000366,2025-05-14,19:47:20,CUST7810,Mona Naguib,Mansoura,1054277918,mona.naguib@example.com,0.0,1,Rice with Vermicelli,Food,28,3,0.0,Card,84,11.76,10.08,0,105.84,32.76,138.6,Takeaway,Hassan,2,3,B005,Tanta,Mr. Omar
ORD000367,2025-08-09,02:39:05,CUST9982,Youssef Fathy,Ismailia,1250823753,youssef.fathy@example.com,16.0,2,Lentil Soup,Food,30,2,0.0,Mobile Wallet,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Amr,1,2,B003,Alexandria,Mr. Karim
ORD000368,2025-07-04,15:39:43,CUST4251,Rania Ali,Cairo,1021668838,rania.ali@example.com,8.0,5,Falafel Sandwich,Food,25,1,0.0,Cash,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Laila,0,4,B005,Tanta,Mr. Omar
ORD000369,2025-04-20,07:33:21,CUST9819,Fatma Mostafa,Cairo,1021067060,fatma.mostafa@example.com,29.0,2,Bottled Water,Drink,8,4,1.6,Cash,32,4.48,3.84,0,38.72,0.0,38.72,Dine-in,Hassan,0,5,B004,Mansoura,Mrs. Laila
ORD000370,2024-11-02,14:22:16,CUST9905,Nadia Karim,Tanta,1033902952,nadia.karim@example.com,39.0,8,Grilled Chicken Half,Food,75,1,0.0,Card,75,10.5,9.0,0,94.5,0.0,94.5,Dine-in,Dina,1,5,B002,Giza,Mrs. Salma
ORD000371,2024-10-05,10:16:27,CUST6340,Aya Farid,Minya,1153107401,aya.farid@example.com,29.0,2,Sahlab,Drink,35,2,0.0,Cash,70,9.8,8.4,0,88.2,0.0,88.2,Dine-in,Salma,1,1,B003,Alexandria,Mr. Karim
ORD000372,2025-07-09,11:38:58,CUST6428,Ibrahim Mostafa,Alexandria,1143569749,ibrahim.mostafa@example.com,21.0,4,Arabic Coffee,Drink,25,2,2.5,Card,50,7.0,6.0,0,60.5,0.0,60.5,Dine-in,Laila,1,1,B001,Cairo,Mr. Hassan
ORD000373,2025-08-24,22:23:14,CUST6711,Fatma Ibrahim,Giza,1037033804,fatma.ibrahim@example.com,25.0,4,Sahlab,Drink,35,1,0.0,Cash,35,4.9,4.2,0,44.1,21.05,65.15,Dine-in,Mona,1,2,B005,Tanta,Mr. Omar
ORD000374,2025-05-22,17:25:38,CUST9457,Tamer Farid,Mansoura,1076550794,tamer.farid@example.com,18.0,2,Fattah,Food,90,1,0.0,Card,90,12.6,10.8,0,113.4,0.0,113.4,Dine-in,Laila,2,5,B005,Tanta,Mr. Omar
ORD000375,2024-11-06,01:26:44,CUST8643,Mona Hafez,Zagazig,1262874708,mona.hafez@example.com,0.0,1,Grilled Chicken Half,Food,75,3,0.0,Card,225,31.5,27.0,0,283.5,0.0,283.5,Takeaway,Dina,5,2,B005,Tanta,Mr. Omar
ORD000376,2025-02-06,19:40:57,CUST9390,Amr Gaber,Giza,1244655375,amr.gaber@example.com,0.0,2,Bottled Water,Drink,8,1,0.0,Card,8,1.12,0.96,30,40.08,5.14,45.22,Delivery,Salma,0,4,B005,Tanta,Mr. Omar
ORD000377,2025-01-06,09:22:45,CUST5869,Khaled Ali,Ismailia,1296244314,khaled.ali@example.com,0.0,2,Hawawshi,Food,55,1,0.0,Card,55,7.7,6.6,25,94.3,0.0,94.3,Delivery,Karim,1,4,B002,Giza,Mrs. Salma
ORD000378,2025-02-14,15:05:11,CUST6625,Nour Hafez,Mansoura,1170656290,nour.hafez@example.com,0.0,2,Bottled Water,Drink,8,2,0.8,Mobile Wallet,16,2.24,1.92,0,19.36,25.29,44.65,Takeaway,Salma,0,5,B005,Tanta,Mr. Omar
ORD000379,2025-01-23,19:09:24,CUST1887,Ibrahim Yassin,Fayoum,1286813030,ibrahim.yassin@example.com,28.0,2,Rice with Vermicelli,Food,28,3,0.0,Card,84,11.76,10.08,0,105.84,0.0,105.84,Dine-in,Amr,2,5,B001,Cairo,Mr. Hassan
ORD000380,2025-02-11,20:07:12,CUST8814,Walid Mahmoud,Mansoura,1115226870,walid.mahmoud@example.com,32.0,4,Soft Drink (Can),Drink,18,1,0.0,Mobile Wallet,18,2.52,2.16,0,22.68,29.03,51.71,Dine-in,Laila,1,4,B004,Mansoura,Mrs. Laila
ORD000381,2024-10-24,08:24:49,CUST4167,Hassan Hafez,Cairo,1294076413,hassan.hafez@example.com,0.0,2,Karkade (Hibiscus Tea),Drink,25,2,0.0,Card,50,7.0,6.0,15,78.0,0.0,78.0,Delivery,Dina,1,3,B001,Cairo,Mr. Hassan
ORD000382,2024-12-18,15:27:44,CUST4098,Nadia Farid,Fayoum,1255643095,nadia.farid@example.com,9.0,6,Rice with Vermicelli,Food,28,1,0.0,Cash,28,3.92,3.36,0,35.28,0.0,35.28,Dine-in,Karim,0,4,B003,Alexandria,Mr. Karim
ORD000383,2024-12-02,19:50:30,CUST3598,Ibrahim Sayed,Zagazig,1254428021,ibrahim.sayed@example.com,0.0,1,Sahlab,Drink,35,3,0.0,Cash,105,14.7,12.6,0,132.3,38.9,171.2,Takeaway,Salma,3,3,B004,Mansoura,Mrs. Laila
ORD000384,2025-03-26,02:58:32,CUST2226,Nour Mostafa,Fayoum,1114480164,nour.mostafa@example.com,38.0,2,Mixed Grill Plate,Food,140,2,0.0,Cash,280,39.2,33.6,0,352.8,0.0,352.8,Dine-in,Karim,7,1,B001,Cairo,Mr. Hassan
ORD000385,2025-02-24,12:30:06,CUST2860,Dina Mahmoud,Giza,1066115983,dina.mahmoud@example.com,20.0,2,Mixed Grill Plate,Food,140,1,0.0,Card,140,19.6,16.8,0,176.4,10.6,187.0,Dine-in,Salma,3,5,B001,Cairo,Mr. Hassan
ORD000386,2025-05-22,10:24:59,CUST3416,Dina Hafez,Cairo,1153611062,dina.hafez@example.com,2.0,2,Umm Ali (Dessert),Dessert,35,3,5.25,Mobile Wallet,105,14.7,12.6,0,127.05,0.0,127.05,Dine-in,Salma,2,1,B003,Alexandria,Mr. Karim
ORD000387,2025-02-14,20:41:48,CUST5850,Nour Mostafa,Suez,1257338747,nour.mostafa@example.com,16.0,3,Lentil Soup,Food,30,2,0.0,Cash,60,8.4,7.2,0,75.6,0.0,75.6,Dine-in,Hassan,1,2,B004,Mansoura,Mrs. Laila
ORD000388,2024-12-09,07:17:49,CUST6453,Nadia Hassan,Ismailia,1175402764,nadia.hassan@example.com,50.0,3,Arabic Coffee,Drink,25,3,0.0,Card,75,10.5,9.0,0,94.5,19.35,113.85,Dine-in,Salma,2,5,B005,Tanta,Mr. Omar
ORD000389,2024-10-11,20:15:35,CUST5306,Nadia Hassan,Cairo,1233883134,nadia.hassan@example.com,45.0,4,Grilled Chicken Half,Food,75,3,0.0,Cash,225,31.5,27.0,0,283.5,0.0,283.5,Dine-in,Karim,5,4,B005,Tanta,Mr. Omar
ORD000390,2024-09-24,14:56:23,CUST4010,Fatma Ibrahim,Cairo,1269609128,fatma.ibrahim@example.com,0.0,6,Arabic Coffee,Drink,25,2,5.0,Card,50,7.0,6.0,25,83.0,30.25,113.25,Delivery,Dina,2,1,B002,Giza,Mrs. Salma
ORD000391,2024-10-02,21:28:41,CUST1914,Youssef Farid,Mansoura,1151518739,youssef.farid@example.com,40.0,1,Basbousa (Dessert),Dessert,30,1,0.0,Mobile Wallet,30,4.2,3.6,0,37.8,0.0,37.8,Dine-in,Mona,0,5,B002,Giza,Mrs. Salma
ORD000392,2025-06-11,05:45:56,CUST4893,Laila Farid,Giza,1290029835,laila.farid@example.com,0.0,3,Umm Ali (Dessert),Dessert,35,1,0.0,Card,35,4.9,4.2,20,64.1,21.81,85.91,Delivery,Karim,1,2,B004,Mansoura,Mrs. Laila
ORD000393,2024-10-04,05:38:33,CUST1911,Salma Ibrahim,Alexandria,1241296026,salma.ibrahim@example.com,0.0,2,Iced Tea,Drink,22,2,0.0,Card,44,6.16,5.28,20,75.44,0.0,75.44,Delivery,Dina,1,4,B005,Tanta,Mr. Omar
ORD000394,2025-04-13,19:45:24,CUST8289,Fatma Fouad,Suez,1018340223,fatma.fouad@example.com,26.0,1,Falafel Sandwich,Food,25,1,0.0,Card,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Mona,0,2,B004,Mansoura,Mrs. Laila
ORD000395,2025-04-29,22:19:08,CUST1868,Nour Mahmoud,Minya,1266248802,nour.mahmoud@example.com,24.0,3,Rice with Vermicelli,Food,28,4,11.2,Card,112,15.68,13.44,0,129.92,0.0,129.92,Dine-in,Hassan,2,4,B003,Alexandria,Mr. Karim
ORD000396,2025-03-07,17:45:07,CUST3549,Khaled Fouad,Zagazig,1058558251,khaled.fouad@example.com,30.0,2,Karkade (Hibiscus Tea),Drink,25,1,0.0,Cash,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Omar,0,1,B004,Mansoura,Mrs. Laila
ORD000397,2024-09-19,06:36:30,CUST5466,Nadia Ali,Ismailia,1171491610,nadia.ali@example.com,50.0,5,Basbousa (Dessert),Dessert,30,1,4.5,Card,30,4.2,3.6,0,33.3,0.0,33.3,Dine-in,Omar,0,2,B004,Mansoura,Mrs. Laila
ORD000398,2025-04-08,18:37:58,CUST2004,Rania Ibrahim,Suez,1063828517,rania.ibrahim@example.com,44.0,4,Soft Drink (Can),Drink,18,3,0.0,Cash,54,7.56,6.48,0,68.04,11.86,79.9,Dine-in,Laila,1,1,B005,Tanta,Mr. Omar
ORD000399,2025-03-01,15:16:25,CUST1545,Hassan Mostafa,Minya,1279163878,hassan.mostafa@example.com,1.0,4,Grilled Kofta,Food,85,1,0.0,Mobile Wallet,85,11.9,10.2,0,107.1,0.0,107.1,Dine-in,Laila,2,5,B003,Alexandria,Mr. Karim
ORD000400,2025-05-22,20:45:37,CUST2050,Omar Fathy,Fayoum,1235623259,omar.fathy@example.com,0.0,1,Falafel Sandwich,Food,25,2,0.0,Mobile Wallet,50,7.0,6.0,20,83.0,18.06,101.06,Delivery,Omar,2,1,B004,Mansoura,Mrs. Laila
ORD000401,2025-07-22,09:09:44,CUST1295,Sara Farid,Fayoum,1092786146,sara.farid@example.com,36.0,3,Karkade (Hibiscus Tea),Drink,25,2,2.5,Mobile Wallet,50,7.0,6.0,0,60.5,0.0,60.5,Dine-in,Amr,1,4,B001,Cairo,Mr. Hassan
ORD000402,2025-02-07,09:53:12,CUST3794,Mohamed Fathy,Ismailia,1223886243,mohamed.fathy@example.com,47.0,6,Fresh Juice (Mango),Drink,40,2,0.0,Cash,80,11.2,9.6,0,100.8,0.0,100.8,Dine-in,Dina,2,4,B005,Tanta,Mr. Omar
ORD000403,2025-02-12,04:25:10,CUST8422,Omar Hafez,Tanta,1121171947,omar.hafez@example.com,43.0,1,Grilled Kofta,Food,85,1,4.25,Cash,85,11.9,10.2,0,102.85,0.0,102.85,Dine-in,Laila,2,5,B003,Alexandria,Mr. Karim
ORD000404,2024-09-28,18:43:05,CUST3893,Ahmed Ali,Cairo,1056709860,ahmed.ali@example.com,43.0,2,Fresh Juice (Mango),Drink,40,2,0.0,Card,80,11.2,9.6,0,100.8,0.0,100.8,Dine-in,Karim,2,1,B001,Cairo,Mr. Hassan
ORD000405,2024-09-22,12:27:05,CUST3820,Rania Fouad,Ismailia,1193801562,rania.fouad@example.com,0.0,3,Lentil Soup,Food,30,1,0.0,Card,30,4.2,3.6,0,37.8,0.0,37.8,Takeaway,Dina,0,2,B005,Tanta,Mr. Omar
ORD000406,2025-02-28,20:46:42,CUST6264,Rania Zaki,Ismailia,1251504428,rania.zaki@example.com,17.0,4,Falafel Sandwich,Food,25,1,0.0,Cash,25,3.5,3.0,0,31.5,0.0,31.5,Dine-in,Omar,0,2,B001,Cairo,Mr. Hassan
ORD000407,2025-01-05,02:44:48,CUST2366,Amr Mahmoud,Giza,1138345330,amr.mahmoud@example.com,29.0,2,Arabic Coffee,Drink,25,1,0.0,Cash,25,3.5,3.0,0,31.5,21.05,52.55,Dine-in,Salma,1,4,B004,Mansoura,Mrs. Laila
ORD000408,2025-07-24,02:20:31,CUST7479,Tamer Yassin,Fayoum,1160911535,tamer.yassin@example.com,0.0,1,Arabic Coffee,Drink,25,2,0.0,Card,50,7.0,6.0,30,93.0,0.0,93.0,Delivery,Laila,1,1,B004,Mansoura,Mrs. Laila
ORD000409,2025-01-12,20:12:33,CUST1760,Aya Gaber,Tanta,1262477183,aya.gaber@example.com,34.0,3,Lentil Soup,Food,30,1,0.0,Card,30,4.2,3.6,0,37.8,33.68,71.48,Dine-in,Dina,1,5,B004,Mansoura,Mrs. Laila
ORD000410,2024-11-23,06:04:06,CUST5640,Mohamed Hafez,Zagazig,1144291528,mohamed.hafez@example.com,17.0,2,Bottled Water,Drink,8,2,0.0,Card,16,2.24,1.92,0,20.16,31.77,51.93,Dine-in,Dina,1,2,B004,Mansoura,Mrs. Laila
ORD000411,2025-06-30,22:58:48,CUST2790,Mona Fouad,Giza,1017617358,mona.fouad@example.com,0.0,4,Mixed Grill Plate,Food,140,4,0.0,Mobile Wallet,560,78.4,67.2,0,705.6,28.71,734.31,Takeaway,Dina,14,5,B002,Giza,Mrs. Salma
ORD000412,2025-08-01,18:03:14,CUST3718,Sara Sayed,Zagazig,1265304399,sara.sayed@example.com,0.0,3,Mahshi (Stuffed Vegetables),Food,70,2,14.0,Card,140,19.6,16.8,20,182.4,0.0,182.4,Delivery,Hassan,3,1,B002,Giza,Mrs. Salma
ORD000413,2024-11-14,06:35:10,CUST7858,Khaled Ibrahim,Zagazig,1276483420,khaled.ibrahim@example.com,43.0,6,Koshari,Food,45,4,0.0,Cash,180,25.2,21.6,0,226.8,25.11,251.91,Dine-in,Laila,5,5,B001,Cairo,Mr. Hassan
ORD000414,2025-06-23,19:42:17,CUST3308,Sara Zaki,Tanta,1144277166,sara.zaki@example.com,39.0,4,Lentil Soup,Food,30,1,0.0,Cash,30,4.2,3.6,0,37.8,0.0,37.8,Dine-in,Laila,0,1,B004,Mansoura,Mrs. Laila
ORD000415,2025-06-24,21:46:14,CUST9972,Khaled Hafez,Ismailia,1020818494,khaled.hafez@example.com,0.0,2,Baklava (Dessert),Dessert,40,4,0.0,Cash,160,22.4,19.2,20,221.6,0.0,221.6,Delivery,Karim,4,5,B002,Giza,Mrs. Salma
ORD000416,2025-03-01,11:20:25,CUST8307,Nadia Farid,Suez,1297114415,nadia.farid@example.com,40.0,2,Karkade (Hibiscus Tea),Drink,25,2,0.0,Mobile Wallet,50,7.0,6.0,0,63.0,22.95,85.95,Dine-in,Laila,1,3,B001,Cairo,Mr. Hassan
ORD000417,2024-12-18,08:58:25,CUST5548,Ahmed Karim,Fayoum,1088013335,ahmed.karim@example.com,45.0,8,Basbousa (Dessert),Dessert,30,1,0.0,Mobile Wallet,30,4.2,3.6,0,37.8,0.0,37.8,Dine-in,Amr,0,2,B004,Mansoura,Mrs. Laila
ORD000418,2025-01-25,03:36:24,CUST2048,Tamer Sayed,Tanta,1143446484,tamer.sayed@example.com,34.0,3,Fattah,Food,90,2,0.0,Cash,180,25.2,21.6,0,226.8,15.31,242.11,Dine-in,Salma,4,4,B003,Alexandria,Mr. Karim
ORD000419,2025-02-22,23:41:15,CUST2946,Sara Ali,Minya,1263963968,sara.ali@example.com,0.0,4,Soft Drink (Can),Drink,18,2,0.0,Mobile Wallet,36,5.04,4.32,25,70.36,19.66,90.02,Delivery,Omar,1,5,B001,Cairo,Mr. Hassan
ORD000420,2025-08-20,08:21:06,CUST6178,Laila Karim,Minya,1027625427,laila.karim@example.com,0.0,1,Turkish Coffee,Drink,20,2,0.0,Cash,40,5.6,4.8,25,75.4,0.0,75.4,Delivery,Karim,1,4,B001,Cairo,Mr. Hassan
ORD000421,2025-04-14,09:15:06,CUST7780,Fatma Mahmoud,Tanta,1157263956,fatma.mahmoud@example.com,27.0,1,Grilled Kofta,Food,85,1,0.0,Cash,85,11.9,10.2,0,107.1,29.45,136.55,Dine-in,Laila,2,5,B002,Giza,Mrs. Salma
ORD000422,2025-04-22,10:14:09,CUST8999,Salma Yassin,Cairo,1165860938,salma.yassin@example.com,5.0,2,Hawawshi,Food,55,1,0.0,Mobile Wallet,55,7.7,6.6,0,69.3,0.0,69.3,Dine-in,Salma,1,3,B004,Mansoura,Mrs. Laila
ORD000423,2025-01-22,12:31:32,CUST5857,Sara Gaber,Cairo,1094352991,sara.gaber@example.com,0.0,3,Fresh Juice (Orange),Drink,30,1,0.0,Cash,30,4.2,3.6,0,37.8,0.0,37.8,Takeaway,Amr,0,4,B005,Tanta,Mr. Omar
